Vernier Format 2
ecg5.txt 10/19/2025 10:25:14
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	2.079	0.096	
0.005	-0.395	0.299	
0.010	-0.773	0.368	
0.015	1.886	0.331	
0.020	0.639	0.420	
0.025	-0.904	0.490	
0.030	1.142	0.433	
0.035	2.003	0.481	
0.040	-0.627	0.624	
0.045	0.055	0.617	
0.050	2.534	0.592	
0.055	-0.160	0.700	
0.060	-0.541	0.701	
0.065	2.282	0.620	
0.070	0.985	0.697	
0.075	-0.787	0.766	
0.080	1.166	0.685	
0.085	1.809	0.674	
0.090	-0.782	0.728	
0.095	-0.209	0.623	
0.100	1.933	0.490	
0.105	-0.448	0.482	
0.110	-0.800	0.400	
0.115	1.642	0.267	
0.120	0.331	0.282	
0.125	-0.993	0.298	
0.130	0.844	0.214	
0.135	1.605	0.239	
0.140	-0.749	0.360	
0.145	-0.021	0.357	
0.150	2.302	0.359	
0.155	-0.306	0.491	
0.160	-0.730	0.510	
0.165	1.631	0.419	
0.170	0.238	0.424	
0.175	-0.993	0.400	
0.180	0.544	0.259	
0.185	1.201	0.202	
0.190	-0.960	0.228	
0.195	-0.317	0.151	
0.200	1.747	0.092	
0.205	-0.502	0.170	
0.210	-0.861	0.171	
0.215	1.375	0.101	
0.220	0.072	0.138	
0.225	-0.993	0.155	
0.230	0.401	0.065	
0.235	1.023	0.047	
0.240	-0.993	0.097	
0.245	-0.464	0.038	
0.250	1.367	-0.024	
0.255	-0.683	0.023	
0.260	-0.989	-0.003	
0.265	1.073	-0.089	
0.270	-0.087	-0.065	
0.275	-0.993	-0.046	
0.280	0.213	-0.114	
0.285	0.892	-0.111	
0.290	-0.993	-0.043	
0.295	-0.483	-0.074	
0.300	1.387	-0.102	
0.305	-0.665	-0.022	
0.310	-0.985	-0.022	
0.315	1.203	-0.083	
0.320	-0.055	-0.035	
0.325	-0.994	-0.001	
0.330	0.236	-0.067	
0.335	0.855	-0.072	
0.340	-0.994	-0.017	
0.345	-0.546	-0.064	
0.350	1.300	-0.112	
0.355	-0.819	-0.058	
0.360	-0.996	-0.082	
0.365	1.001	-0.162	
0.370	-0.201	-0.134	
0.375	-0.994	-0.114	
0.380	0.131	-0.178	
0.385	0.773	-0.175	
0.390	-0.994	-0.109	
0.395	-0.585	-0.140	
0.400	1.303	-0.169	
0.405	-0.808	-0.096	
0.410	-0.994	-0.103	
0.415	1.096	-0.166	
0.420	-0.137	-0.117	
0.425	-0.994	-0.079	
0.430	0.285	-0.131	
0.435	0.956	-0.108	
0.440	-0.994	-0.021	
0.445	-0.524	-0.046	
0.450	1.389	-0.080	
0.455	-0.782	-0.014	
0.460	-0.994	-0.033	
0.465	1.085	-0.114	
0.470	-0.169	-0.086	
0.475	-0.994	-0.068	
