Vernier Format 2
reposo.txt 10/18/2025 9:1:2
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.294	-0.014	
0.005	0.136	-0.039	
0.010	0.675	-0.014	
0.015	-0.203	0.060	
0.020	-0.172	0.090	
0.025	0.625		
0.030	-0.027		
0.035	-0.355		
0.040	0.346		
0.045	0.226		
0.050	-0.404		
0.055	-0.055		
0.060	0.425		
0.065	-0.332		
0.070	-0.306		
0.075	0.370		
0.080	-0.175		
0.085	-0.457		
0.090	0.158		
0.095	0.131		
0.100	-0.436		
0.105	-0.079		
0.110	0.425		
0.115	-0.320		
0.120	-0.282		
0.125	0.460		
0.130	-0.108		
0.135	-0.404		
0.140	0.288		
0.145	0.247		
0.150	-0.378		
0.155	0.001		
0.160	0.564		
0.165	-0.253		
0.170	-0.213		
0.175	0.573		
0.180	-0.047		
0.185	-0.349		
0.190	0.413		
0.195	0.352		
0.200	-0.340		
0.205	0.070		
0.210	0.611		
0.215	-0.239		
0.220	-0.213		
0.225	0.613		
0.230	-0.018		
0.235	-0.332		
0.240	0.437		
0.245	0.376		
0.250	-0.328		
0.255	0.070		
0.260	0.611		
0.265	-0.241		
0.270	-0.198		
0.275	0.614		
0.280	-0.034		
0.285	-0.343		
0.290	0.422		
0.295	0.358		
0.300	-0.345		
0.305	0.079		
0.310	0.633		
0.315	-0.239		
0.320	-0.213		
0.325	0.596		
0.330	-0.063		
0.335	-0.355		
0.340	0.392		
0.345	0.341		
0.350	-0.343		
0.355	0.072		
0.360	0.617		
0.365	-0.226		
0.370	-0.206		
0.375	0.611		
0.380	-0.035		
0.385	-0.337		
0.390	0.427		
0.395	0.325		
0.400	-0.354		
0.405	0.053		
0.410	0.598		
0.415	-0.252		
0.420	-0.223		
0.425	0.588		
0.430	-0.031		
0.435	-0.334		
0.440	0.436		
0.445	0.349		
0.450	-0.346		
0.455	0.056		
0.460	0.623		
0.465	-0.229		
0.470	-0.195		
0.475	0.643		
0.480	-0.020		
0.485	-0.331		
0.490	0.447		
0.495	0.387		
0.500	-0.326		
0.505	0.126		
0.510	0.666		
0.515	-0.204		
0.520	-0.169		
0.525	0.662		
0.530	-0.006		
0.535	-0.345		
0.540	0.408		
0.545	0.306		
0.550	-0.361		
0.555	0.027		
0.560	0.550		
0.565	-0.270		
0.570	-0.238		
0.575	0.534		
0.580	-0.081		
0.585	-0.377		
0.590	0.334		
0.595	0.273		
0.600	-0.372		
0.605	0.050		
0.610	0.630		
0.615	-0.212		
0.620	-0.125		
0.625	0.875		
0.630	0.297		
0.635	-0.142		
0.640	0.689		
0.645	0.521		
0.650	-0.349		
0.655	-0.102		
0.660	0.253		
0.665	-0.435		
0.670	-0.381		
0.675	0.325		
0.680	-0.153		
0.685	-0.412		
0.690	0.311		
