Vernier Format 2
p3.txt 10/12/2025 10:21:54
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.149	0.007	
0.005	-0.020	0.022	
0.010	-0.177	0.022	
0.015	-0.055	-0.002	
0.020	-0.055	-0.029	
0.025	-0.261	-0.056	
0.030	-0.191	-0.095	
0.035	-0.031	-0.128	
0.040	-0.201	-0.141	
0.045	-0.235	-0.152	
0.050	-0.026	-0.162	
0.055	-0.104	-0.155	
0.060	-0.246	-0.145	
0.065	-0.102	-0.145	
0.070	-0.044	-0.142	
0.075	-0.198	-0.132	
0.080	-0.139	-0.129	
0.085	0.047	-0.124	
0.090	-0.151	-0.107	
0.095	-0.185	-0.100	
0.100	0.072	-0.098	
0.105	-0.029	-0.083	
0.110	-0.186	-0.068	
0.115	-0.053	-0.069	
0.120	0.043	-0.068	
0.125	-0.151	-0.061	
0.130	-0.056	-0.061	
0.135	0.180	-0.053	
0.140	-0.072	-0.029	
0.145	-0.124	-0.016	
0.150	0.172	-0.013	
0.155	0.053	0.003	
0.160	-0.117	0.018	
0.165	0.081	0.017	
0.170	0.139	0.022	
0.175	-0.102	0.032	
0.180	0.029	0.030	
0.185	0.315	0.035	
0.190	0.067	0.065	
0.195	-0.043	0.087	
0.200	0.264	0.092	
0.205	0.139	0.107	
0.210	-0.060	0.117	
0.215	0.180	0.109	
0.220	0.183	0.107	
0.225	-0.131	0.106	
0.230	-0.072	0.079	
0.235	0.120	0.044	
0.240	-0.134	0.020	
0.245	-0.188	-0.011	
0.250	0.021	-0.047	
0.255	-0.102	-0.067	
0.260	-0.273	-0.086	
0.265	-0.142	-0.115	
0.270	-0.104	-0.139	
0.275	-0.265	-0.154	
0.280	-0.194	-0.171	
0.285	-0.079	-0.181	
0.290	-0.252	-0.181	
0.295	-0.288	-0.187	
0.300	-0.081	-0.198	
0.305	-0.143	-0.194	
0.310	-0.271	-0.186	
0.315	-0.104	-0.184	
0.320	-0.076	-0.175	
0.325	-0.282	-0.163	
0.330	-0.212	-0.166	
0.335	-0.020	-0.171	
0.340	-0.172	-0.161	
0.345	-0.226	-0.154	
0.350	-0.020	-0.151	
0.355	-0.098	-0.139	
0.360	-0.213	-0.127	
0.365	-0.020	-0.123	
0.370	0.020	-0.109	
0.375	-0.172	-0.089	
0.380	-0.096	-0.082	
0.385	0.099	-0.076	
0.390	-0.139	-0.061	
0.395	-0.175	-0.058	
0.400	0.082	-0.065	
0.405	-0.029	-0.058	
0.410	-0.188	-0.052	
0.415	-0.043	-0.060	
0.420	-0.003	-0.065	
0.425	-0.198	-0.067	
0.430	-0.114	-0.080	
0.435	0.111	-0.086	
0.440	-0.127	-0.074	
0.445	-0.171	-0.069	
0.450	0.108	-0.070	
0.455	-0.017	-0.056	
0.460	-0.186	-0.045	
