Vernier Format 2
reposos1.txt 10/12/2025 10:0:25
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.024	-0.001	
0.005	-0.128	-0.010	
0.010	0.067	-0.022	
0.015	0.189	-0.015	
0.020	-0.044	0.010	
0.025	0.029	0.026	
0.030	0.244	0.041	
0.035	0.050	0.067	
0.040	0.029	0.085	
0.045	0.276	0.095	
0.050	0.154	0.117	
0.055	-0.046	0.131	
0.060	0.154	0.123	
0.065	0.187	0.118	
0.070	-0.084	0.114	
0.075	-0.027	0.090	
0.080	0.166	0.064	
0.085	-0.063	0.050	
0.090	-0.140	0.029	
0.095	0.027	-0.001	
0.100	-0.082	-0.023	
0.105	-0.223	-0.047	
0.110	-0.102	-0.079	
0.115	-0.026	-0.101	
0.120	-0.192	-0.109	
0.125	-0.149	-0.119	
0.130	-0.038	-0.126	
0.135	-0.195	-0.126	
0.140	-0.246	-0.134	
0.145	-0.073	-0.148	
0.150	-0.125	-0.151	
0.155	-0.261	-0.152	
0.160	-0.145	-0.161	
0.165	-0.078	-0.165	
0.170	-0.224	-0.160	
0.175	-0.188	-0.161	
0.180	-0.023	-0.161	
0.185	-0.140	-0.148	
0.190	-0.204	-0.138	
0.195	-0.053	-0.135	
0.200	-0.079	-0.127	
0.205	-0.209	-0.119	
0.210	-0.102	-0.121	
0.215	-0.011	-0.119	
0.220	-0.163	-0.109	
0.225	-0.146	-0.107	
0.230	0.003	-0.107	
0.235	-0.127	-0.099	
0.240	-0.148	-0.096	
0.245	0.038	-0.094	
0.250	-0.060	-0.082	
0.255	-0.178	-0.073	
0.260	-0.034	-0.076	
0.265	0.056	-0.072	
0.270	-0.175	-0.061	
0.275	-0.153	-0.065	
0.280	-0.003	-0.077	
0.285	-0.125	-0.082	
0.290	-0.153	-0.088	
0.295	0.043	-0.093	
0.300	-0.023	-0.082	
0.305	-0.162	-0.069	
0.310	-0.020	-0.067	
0.315	0.067	-0.060	
0.320	-0.128	-0.046	
0.325	-0.069	-0.042	
0.330	0.151	-0.038	
0.335	-0.055	-0.021	
0.340	-0.120	-0.012	
0.345	0.097	-0.015	
0.350	-0.014	-0.011	
0.355	-0.162	-0.011	
0.360	-0.029	-0.026	
0.365	0.004	-0.038	
0.370	-0.169	-0.046	
0.375	-0.111	-0.062	
0.380	0.064	-0.074	
0.385	-0.120	-0.070	
0.390	-0.156	-0.071	
0.395	0.056	-0.076	
0.400	-0.015	-0.067	
0.405	-0.163	-0.056	
0.410	-0.017	-0.057	
0.415	0.099	-0.052	
0.420	-0.110	-0.036	
0.425	-0.049	-0.030	
0.430	0.160	-0.023	
0.435	-0.040	-0.005	
0.440	-0.107	0.004	
0.445	0.076	-0.001	
0.450	-0.017	-0.002	
0.455	-0.168	-0.008	
