Vernier Format 2
ecg4.txt 10/17/2025 10:27:6
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.192	0.009	
0.005	-0.142	0.023	
0.010	-0.419	0.002	
0.015	0.041	-0.052	
0.020	0.117	-0.079	
0.025	-0.342	-0.081	
0.030	-0.049	-0.095	
0.035	0.486	-0.082	
0.040	-0.180	-0.027	
0.045	-0.242	0.000	
0.050	0.174	-0.009	
0.055	-0.271	-0.020	
0.060	-0.595	-0.066	
0.065	-0.235	-0.155	
0.070	-0.185	-0.227	
0.075	-0.529	-0.273	
0.080	-0.247	-0.314	
0.085	0.219	-0.314	
0.090	-0.281	-0.259	
0.095	-0.256	-0.212	
0.100	0.427	-0.167	
0.105	0.029	-0.085	
0.110	-0.274	-0.019	
0.115	0.372	0.010	
0.120	0.465	0.065	
0.125	-0.223	0.130	
0.130	0.101	0.144	
0.135	0.683	0.154	
0.140	-0.070	0.196	
0.145	-0.119	0.199	
0.150	0.613	0.178	
0.155	0.200	0.195	
0.160	-0.209	0.205	
0.165	0.469	0.183	
0.170	0.555	0.198	
0.175	-0.154	0.235	
0.180	0.247	0.232	
0.185	0.834	0.242	
0.190	0.102	0.295	
0.195	-0.034	0.313	
0.200	0.779	0.302	
0.205	0.393	0.329	
0.210	-0.127	0.348	
0.215	0.541	0.325	
0.220	0.567	0.323	
0.225	-0.162	0.333	
0.230	0.161	0.295	
0.235	0.677	0.260	
0.240	-0.125	0.260	
0.245	-0.198	0.222	
0.250	0.416	0.157	
0.255	0.009	0.126	
0.260	-0.328	0.093	
0.265	0.178	0.037	
0.270	0.253	0.016	
0.275	-0.339	0.019	
0.280	-0.082	-0.007	
0.285	0.389	-0.023	
0.290	-0.212	-0.005	
0.295	-0.265	-0.009	
0.300	0.343	-0.028	
0.305	-0.002	-0.012	
0.310	-0.328	-0.002	
0.315	0.161	-0.019	
0.320	0.251	-0.013	
0.325	-0.313	0.009	
0.330	-0.085	-0.003	
0.335	0.402	-0.012	
0.340	-0.210	0.009	
0.345	-0.273	0.004	
0.350	0.303	-0.020	
0.355	-0.085	-0.016	
0.360	-0.419	-0.025	
0.365	0.011	-0.067	
0.370	0.081	-0.090	
0.375	-0.407	-0.095	
0.380	-0.188	-0.123	
0.385	0.261	-0.138	
0.390	-0.284	-0.117	
0.395	-0.331	-0.115	
0.400	0.221	-0.126	
0.405	-0.102	-0.108	
0.410	-0.380	-0.096	
0.415	0.079	-0.108	
0.420	0.201	-0.095	
0.425	-0.294	-0.063	
0.430	-0.021	-0.054	
0.435	0.369	-0.038	
0.440	-0.337	-0.006	
0.445	-0.502	-0.026	
0.450	-0.154	-0.100	
0.455	-0.349	-0.172	
0.460	-0.595	-0.242	
0.465	-0.146	-0.309	
0.470	0.056	-0.324	
