Vernier Format 2
ecg1.txt 10/19/2025 10:49:7
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.181	0.008	
0.005	-0.093	0.023	
0.010	-0.199	0.017	
0.015	0.065	-0.009	
0.020	-0.029	-0.024	
0.025	-0.237	-0.038	
0.030	-0.006	-0.061	
0.035	0.256	-0.061	
0.040	-0.037	-0.028	
0.045	0.078	0.005	
0.050	0.429	0.046	
0.055	0.029	0.102	
0.060	-0.174	0.125	
0.065	0.050	0.101	
0.070	-0.049	0.065	
0.075	-0.252	0.021	
0.080	-0.052	-0.032	
0.085	0.065	-0.066	
0.090	-0.207	-0.076	
0.095	-0.145	-0.090	
0.100	0.105	-0.098	
0.105	-0.126	-0.087	
0.110	-0.213	-0.082	
0.115	0.044	-0.088	
0.120	0.013	-0.079	
0.125	-0.219	-0.068	
0.130	-0.031	-0.070	
0.135	0.151	-0.065	
0.140	-0.159	-0.045	
0.145	-0.127	-0.040	
0.150	0.201	-0.040	
0.155	-0.078	-0.024	
0.160	-0.182	-0.018	
0.165	0.117	-0.026	
0.170	0.059	-0.021	
0.175	-0.197	-0.012	
0.180	-0.005	-0.022	
0.185	0.192	-0.023	
0.190	-0.133	-0.008	
0.195	-0.072	-0.006	
0.200	0.263	-0.004	
0.205	-0.045	0.016	
0.210	-0.141	0.024	
0.215	0.220	0.019	
0.220	0.116	0.032	
0.225	-0.170	0.046	
0.230	0.030	0.035	
0.235	0.236	0.029	
0.240	-0.126	0.038	
0.245	-0.075	0.032	
0.250	0.246	0.021	
0.255	-0.042	0.029	
0.260	-0.168	0.028	
0.265	0.137	0.011	
0.270	0.096	0.010	
0.275	-0.161	0.015	
0.280	0.067	0.008	
0.285	0.282	0.014	
0.290	-0.089	0.040	
0.295	-0.034	0.049	
0.300	0.339	0.052	
0.305	0.017	0.075	
0.310	-0.127	0.083	
0.315	0.217	0.071	
0.320	0.114	0.072	
0.325	-0.168	0.071	
0.330	0.036	0.049	
0.335	0.259	0.037	
0.340	-0.142	0.043	
0.345	-0.116	0.032	
0.350	0.215	0.013	
0.355	-0.074	0.012	
0.360	-0.210	0.003	
0.365	0.075	-0.021	
0.370	0.012	-0.031	
0.375	-0.223	-0.036	
0.380	-0.045	-0.054	
0.385	0.128	-0.062	
0.390	-0.182	-0.052	
0.395	-0.138	-0.055	
0.400	0.146	-0.061	
0.405	-0.106	-0.050	
0.410	-0.219	-0.049	
0.415	0.143	-0.058	
0.420	0.178	-0.040	
0.425	-0.074	-0.004	
0.430	0.238	0.027	
0.435	0.398	0.074	
0.440	-0.095	0.127	
0.445	-0.130	0.133	
0.450	0.151	0.102	
0.455	-0.110	0.071	
0.460	-0.229	0.029	
0.465	0.050	-0.021	
0.470	0.013	-0.047	
0.475	-0.223	-0.058	
