Vernier Format 2
reposo.txt 10/19/2025 10:38:5
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.084	-0.004	
0.005	0.026	-0.012	
0.010	0.013	-0.014	
0.015	-0.106	-0.015	
0.020	-0.042	-0.024	
0.025	0.044	-0.031	
0.030	-0.084	-0.030	
0.035	-0.077	-0.033	
0.040	0.046	-0.038	
0.045	-0.031	-0.034	
0.050	-0.089	-0.030	
0.055	0.013	-0.032	
0.060	0.001	-0.030	
0.065	-0.110	-0.028	
0.070	-0.029	-0.033	
0.075	0.055	-0.035	
0.080	-0.081	-0.029	
0.085	-0.078	-0.030	
0.090	0.075	-0.032	
0.095	0.036	-0.022	
0.100	0.041	-0.005	
0.105	0.333	0.026	
0.110	0.382	0.086	
0.115	0.130	0.156	
0.120	0.117	0.197	
0.125	0.099	0.202	
0.130	-0.097	0.177	
0.135	-0.109	0.123	
0.140	0.017	0.060	
0.145	-0.054	0.012	
0.150	-0.116	-0.023	
0.155	-0.003	-0.050	
0.160	-0.005	-0.060	
0.165	-0.116	-0.059	
0.170	-0.046	-0.061	
0.175	0.032	-0.059	
0.180	-0.087	-0.050	
0.185	-0.086	-0.047	
0.190	0.055	-0.047	
0.195	-0.025	-0.038	
0.200	-0.100	-0.031	
0.205	0.023	-0.031	
0.210	0.024	-0.027	
0.215	-0.103	-0.021	
0.220	-0.026	-0.024	
0.225	0.070	-0.025	
0.230	-0.068	-0.019	
0.235	-0.061	-0.018	
0.240	0.091	-0.019	
0.245	-0.016	-0.011	
0.250	-0.083	-0.006	
0.255	0.059	-0.008	
0.260	0.076	-0.003	
0.265	-0.069	0.007	
0.270	0.000	0.008	
0.275	0.107	0.008	
0.280	-0.038	0.015	
0.285	-0.037	0.015	
0.290	0.111	0.013	
0.295	0.001	0.018	
0.300	-0.066	0.019	
0.305	0.067	0.013	
0.310	0.072	0.014	
0.315	-0.069	0.019	
0.320	0.017	0.015	
0.325	0.125	0.015	
0.330	-0.040	0.022	
0.335	-0.035	0.022	
0.340	0.125	0.019	
0.345	0.021	0.025	
0.350	-0.066	0.027	
0.355	0.075	0.022	
0.360	0.061	0.022	
0.365	-0.074	0.024	
0.370	-0.006	0.016	
0.375	0.090	0.009	
0.380	-0.060	0.009	
0.385	-0.058	0.004	
0.390	0.087	-0.004	
0.395	-0.020	-0.002	
0.400	-0.090	-0.003	
0.405	0.036	-0.011	
0.410	0.024	-0.012	
0.415	-0.092	-0.011	
0.420	-0.014	-0.016	
0.425	0.068	-0.018	
0.430	-0.069	-0.013	
0.435	-0.074	-0.015	
0.440	0.061	-0.020	
0.445	-0.026	-0.018	
0.450	-0.089	-0.017	
0.455	0.038	-0.022	
0.460	0.032	-0.019	
0.465	-0.090	-0.013	
0.470	-0.023	-0.016	
